Altium Designer Pick and Place Locations
D:\ATMEL\Chimera Curiosity Board_WBZ451\v4.0\WORK\01_170122\Project_Outputs\DevTools\05-00307-R3_PNP\05-00307-R4_PNP.txt

========================================================================================================================
File Design Information:

Date:       17/01/22
Time:       18:09
Revision:   Not in VersionControl
Variant:    Production Variant
Units used: mm

Designator Comment                                                                         Layer        Footprint                                      Center-X(mm) Center-Y(mm) Rotation Description                                                                                                          
U20        ATSAME70-TFBGA100                                                               BottomLayer  TFBGA-100_P0.8_9x9x1.1                         54.7040      16.8879      90       "32-bit ARM Cortex-M7 MCUs with FPU, Audio and  Graphics Interfaces, High-Speed USB, Ethernet, and  Advanced Analog" 
R99        Resistor                                                                        TopLayer     RES_C_0402                                     10.5160      25.0150      90       Resistor                                                                                                             
R101       Resistor                                                                        TopLayer     RES_C_0402                                     11.5890      25.0150      90       Resistor                                                                                                             
R102       Resistor                                                                        TopLayer     RES_C_0402                                     12.6620      25.0150      90       Resistor                                                                                                             
R103       Resistor                                                                        TopLayer     RES_C_0402                                     13.7350      25.0150      90       Resistor                                                                                                             
R104       Resistor                                                                        TopLayer     RES_C_0402                                     14.8594      25.0150      90       Resistor                                                                                                             
R105       Resistor                                                                        TopLayer     RES_C_0402                                     15.9770      25.0150      90       Resistor                                                                                                             
R106       Resistor                                                                        TopLayer     RES_C_0402                                     17.1240      25.0150      90       Resistor                                                                                                             
R107       Resistor                                                                        TopLayer     RES_C_0402                                     18.2372      25.0150      90       Resistor                                                                                                             
R19        Resistor                                                                        BottomLayer  RES_C_0402                                     46.5942      20.0660      270      Resistor                                                                                                             
R50        Resistor                                                                        BottomLayer  RES_C_0402                                     31.6940      25.6323      90       Resistor                                                                                                             
R14        Resistor                                                                        TopLayer     RES_C_0402                                     22.9606      20.4180      180      Resistor                                                                                                             
R57        Resistor                                                                        TopLayer     RES_C_0402                                     22.9606      13.4180      180      Resistor                                                                                                             
R97        Resistor                                                                        TopLayer     RES_C_0402                                     22.9606      11.4180      180      Resistor                                                                                                             
LD1        "LED DUAL R_G 0606"                                                             TopLayer     LED_0606_Green-Red_Bicolor                     70.5358      28.0416      0        LED                                                                                                                  
